datetime,renewable_total_mwh,prediction_mwh,absolute_error,error_mwh
2025-10-05,1048887.32,1038320.96,28160.757812499993,10566.360000000102
2025-10-06,678155.99,708105.779,31577.08285156249,-29949.78899999999
2025-10-07,237086.63,249943.1111,13963.1135546875,-12856.481100000005
2025-10-08,246231.16,248949.1113,12037.734140625003,-2717.951299999986
2025-10-09,417372.93,416942.8447,11127.567167968764,430.085299999977
2025-10-10,567249.52,576610.241,22496.10453125,-9360.72100000002
2025-10-11,436059.18,440824.538,10300.433867187496,-4765.358000000007
2025-10-12,351689.88,359389.7462,14815.299765624999,-7699.8661999999895
2025-10-13,188047.24000000002,187332.1716,7983.85344726562,715.0684000000183
2025-10-14,275994.7,283258.7754,9825.253320312491,-7264.075399999972
2025-10-15,247782.28,250699.9024,8867.047695312503,-2917.622399999993
2025-10-16,411058.25,417817.202,16230.550625000013,-6758.95199999999
2025-10-17,415994.15,418893.594,11636.721562499999,-2899.4439999999595
2025-10-18,408593.3,397178.9478,27838.28251953126,11414.352199999965
2025-10-19,700722.42,695831.97,18578.32000000001,4890.45000000007
2025-10-20,808258.38,806554.029,17515.848750000012,1704.3510000000242
2025-10-21,904180.5,905765.898,22043.64789062499,-1585.3980000000447
2025-10-22,387866.87,398016.8206,18508.65095703125,-10149.950599999982
2025-10-23,966560.93,954062.34,24799.088437500017,12498.590000000084
2025-10-24,1194499.79,1152253.548,46081.54656250002,42246.242000000086
2025-10-25,1084137.31,1075519.257,23357.562812500015,8618.053000000073
2025-10-26,1167781.76,1140247.204,36543.153125000004,27534.5560000001
2025-10-27,1040561.3400000001,1027848.428,25104.320781250004,12712.912000000128
2025-10-28,1067620.08,1069481.266,20854.69578125001,-1861.185999999987
2025-10-29,801934.39,806698.39,32534.773124999992,-4764.0
2025-10-30,908438.77,877077.27,52998.84753906251,31361.5
2025-10-31,568161.53,571148.758,22949.270546874995,-2987.228000000003
2025-11-01,738566.89,740038.2440000001,27099.18718749998,-1471.3540000000503
2025-11-02,442886.77,455892.637,20566.648593749997,-13005.86699999997
2025-11-03,764070.9,752790.158,20151.57843750001,11280.74199999997
2025-11-04,729913.81,724526.624,16646.39023437498,5387.186000000103
2025-11-05,628440.07,635813.0265,24563.090820312507,-7372.9565000000875
2025-11-06,412157.91,424754.79980000004,23452.27332031251,-12596.889800000063
2025-11-07,203658.75,210268.0438,8255.084111328124,-6609.293800000014
2025-11-08,86309.18,97031.38915,12078.585131835938,-10722.20915000001
2025-11-09,92379.98000000001,97438.0127,7555.432294921876,-5058.032699999996
2025-11-10,265760.41000000003,256811.0027,13853.142197265635,8949.40730000002
2025-11-11,519370.95,522559.921,13991.338164062503,-3188.9709999999614
2025-11-12,744955.56,742685.06,21439.403203125,2270.5
