Date,Daily_PnL,Cumulative_PnL,Running_Peak,Drawdown,Rolling_Volatility,Rolling_Mean,Rolling_Sharpe,VaR95,Month
2023-05-06,31.680000000000007,2248.5300000000007,2248.5300000000007,0.0,29.6003811349336,26.864333333333335,14.40718174814183,0.0,2023-05
2023-05-07,42.07,2290.600000000001,2290.600000000001,0.0,29.278577590913226,28.26666666666667,15.325861407140806,0.0,2023-05
2023-05-08,0.0,2290.600000000001,2290.600000000001,0.0,29.730027825125866,27.382,14.62076581139505,0.0,2023-05
2023-05-09,34.3,2324.900000000001,2324.900000000001,0.0,29.75666332023842,27.585333333333335,14.716152354995087,0.0,2023-05
2023-05-10,0.0,2324.900000000001,2324.900000000001,0.0,30.013761956502698,26.136333333333333,13.823706261808196,0.0,2023-05
2023-05-11,0.0,2324.900000000001,2324.900000000001,0.0,30.013761956502698,26.136333333333333,13.823706261808196,0.0,2023-05
2023-05-12,24.56,2349.460000000001,2349.460000000001,0.0,29.608492345364645,26.955000000000002,14.451845590356974,0.0,2023-05
2023-05-13,32.88000000000001,2382.340000000001,2382.340000000001,0.0,29.49204670696011,26.645,14.342045036842896,0.0,2023-05
2023-05-14,80.77,2463.110000000001,2463.110000000001,0.0,30.640149222349024,29.337333333333333,15.199525478783862,0.0,2023-05
2023-05-15,0.0,2463.110000000001,2463.110000000001,0.0,31.10507049067538,28.369666666666667,14.478491434436675,0.0,2023-05
2023-05-16,71.38,2534.490000000001,2534.490000000001,0.0,31.586471825985765,30.749000000000002,15.45361713941019,0.0,2023-05
2023-05-17,51.52,2586.010000000001,2586.010000000001,0.0,31.255844858459536,32.46633333333333,16.489301960214597,0.0,2023-05
2023-05-18,73.67,2659.680000000001,2659.680000000001,0.0,31.947960741137155,33.160999999999994,16.477250602084595,0.0,2023-05
2023-05-19,0.0,2659.680000000001,2659.680000000001,0.0,32.515045104703745,32.157333333333334,15.699865687352169,0.0,2023-05
2023-05-20,13.64,2673.320000000001,2673.320000000001,0.0,32.14311342557927,32.612,16.10607671024951,0.0,2023-05
