Country,ISO3,Date,Metric,Unit,Value
Belgium,BEL,2016-07-01,Bioenergy,%,3.77
Belgium,BEL,2016-07-01,Coal,%,0.0
Belgium,BEL,2016-07-01,Gas,%,21.86
Belgium,BEL,2016-07-01,Hydro,%,0.31
Belgium,BEL,2016-07-01,Nuclear,%,55.66
Belgium,BEL,2016-07-01,Solar,%,6.45
Belgium,BEL,2016-07-01,Wind,%,4.72
Belgium,BEL,2016-07-01,Bioenergy,TWh,0.24
Belgium,BEL,2016-07-01,Coal,TWh,0.0
Belgium,BEL,2016-07-01,Gas,TWh,1.39
Belgium,BEL,2016-07-01,Hydro,TWh,0.02
Belgium,BEL,2016-07-01,Nuclear,TWh,3.54
Belgium,BEL,2016-07-01,Solar,TWh,0.41
Belgium,BEL,2016-07-01,Wind,TWh,0.3
Belgium,BEL,2016-07-01,Total Generation,TWh,6.36
Belgium,BEL,2016-07-01,Net Imports,TWh,0.16
Belgium,BEL,2016-07-01,Bioenergy,mtCO2,0.06
Belgium,BEL,2016-07-01,Coal,mtCO2,0.0
Belgium,BEL,2016-07-01,Gas,mtCO2,0.59
Belgium,BEL,2016-07-01,Hydro,mtCO2,0.0
Belgium,BEL,2016-07-01,Nuclear,mtCO2,0.02
Belgium,BEL,2016-07-01,Solar,mtCO2,0.02
Belgium,BEL,2016-07-01,Wind,mtCO2,0.0
Belgium,BEL,2016-08-01,Demand,TWh,6.68
Belgium,BEL,2016-08-01,Bioenergy,%,3.34
Belgium,BEL,2016-08-01,Coal,%,0.0
Belgium,BEL,2016-08-01,Gas,%,21.77
Belgium,BEL,2016-08-01,Hydro,%,0.15
Belgium,BEL,2016-08-01,Nuclear,%,57.18
Belgium,BEL,2016-08-01,Solar,%,5.52
Belgium,BEL,2016-08-01,Wind,%,5.08
Belgium,BEL,2016-08-01,Bioenergy,TWh,0.23
Belgium,BEL,2016-08-01,Coal,TWh,0.0
Belgium,BEL,2016-08-01,Gas,TWh,1.5
Belgium,BEL,2016-08-01,Hydro,TWh,0.01
Belgium,BEL,2016-08-01,Nuclear,TWh,3.94
Belgium,BEL,2016-08-01,Solar,TWh,0.38
Belgium,BEL,2016-08-01,Wind,TWh,0.35
Belgium,BEL,2016-08-01,Total Generation,TWh,6.89
Belgium,BEL,2016-08-01,Net Imports,TWh,-0.21
Belgium,BEL,2016-08-01,Bioenergy,mtCO2,0.05
Belgium,BEL,2016-08-01,Coal,mtCO2,0.0
Belgium,BEL,2016-08-01,Gas,mtCO2,0.63
Belgium,BEL,2016-08-01,Hydro,mtCO2,0.0
Belgium,BEL,2016-08-01,Nuclear,mtCO2,0.02
Belgium,BEL,2016-08-01,Solar,mtCO2,0.02
