timestamp,country,price_eur_mwh,resolution
2020-01-16 17:00:00+00:00,france,43.15,PT60M
2020-01-16 18:00:00+00:00,france,40.45,PT60M
2020-01-16 19:00:00+00:00,france,35.39,PT60M
2020-01-16 20:00:00+00:00,france,31.14,PT60M
2020-01-16 21:00:00+00:00,france,32.17,PT60M
2020-01-16 22:00:00+00:00,france,32.68,PT60M
2020-01-16 23:00:00+00:00,france,27.6,PT60M
2020-01-17 00:00:00+00:00,france,27.42,PT60M
2020-01-17 01:00:00+00:00,france,26.86,PT60M
2020-01-17 02:00:00+00:00,france,25.71,PT60M
2020-01-17 03:00:00+00:00,france,26.01,PT60M
2020-01-17 04:00:00+00:00,france,27.97,PT60M
2020-01-17 05:00:00+00:00,france,31.09,PT60M
2020-01-17 06:00:00+00:00,france,40.25,PT60M
2020-01-17 07:00:00+00:00,france,43.8,PT60M
2020-01-17 08:00:00+00:00,france,43.19,PT60M
2020-01-17 09:00:00+00:00,france,43.68,PT60M
2020-01-17 10:00:00+00:00,france,42.72,PT60M
2020-01-17 11:00:00+00:00,france,41.37,PT60M
2020-01-17 12:00:00+00:00,france,39.98,PT60M
2020-01-17 13:00:00+00:00,france,39.02,PT60M
2020-01-17 14:00:00+00:00,france,39.11,PT60M
2020-01-17 15:00:00+00:00,france,41.37,PT60M
2020-01-17 16:00:00+00:00,france,43.98,PT60M
2020-01-17 17:00:00+00:00,france,46.0,PT60M
2020-01-17 18:00:00+00:00,france,44.66,PT60M
2020-01-17 19:00:00+00:00,france,40.99,PT60M
2020-01-17 20:00:00+00:00,france,33.9,PT60M
2020-01-17 21:00:00+00:00,france,33.38,PT60M
2020-01-17 22:00:00+00:00,france,33.0,PT60M
2020-01-17 23:00:00+00:00,france,32.87,PT60M
2020-01-18 00:00:00+00:00,france,29.73,PT60M
2020-01-18 01:00:00+00:00,france,31.3,PT60M
2020-01-18 02:00:00+00:00,france,26.45,PT60M
2020-01-18 03:00:00+00:00,france,26.52,PT60M
2020-01-18 04:00:00+00:00,france,27.05,PT60M
2020-01-18 05:00:00+00:00,france,32.45,PT60M
2020-01-18 06:00:00+00:00,france,33.21,PT60M
2020-01-18 07:00:00+00:00,france,37.74,PT60M
2020-01-18 08:00:00+00:00,france,38.92,PT60M
2020-01-18 09:00:00+00:00,france,40.0,PT60M
2020-01-18 10:00:00+00:00,france,39.3,PT60M
2020-01-18 12:00:00+00:00,france,37.86,PT60M
2020-01-18 13:00:00+00:00,france,35.69,PT60M
2020-01-18 15:00:00+00:00,france,37.41,PT60M
2020-01-18 16:00:00+00:00,france,41.3,PT60M
2020-01-18 17:00:00+00:00,france,43.04,PT60M
2020-01-18 18:00:00+00:00,france,41.91,PT60M
2020-01-18 19:00:00+00:00,france,39.81,PT60M
2020-01-18 20:00:00+00:00,france,35.13,PT60M
2020-01-18 21:00:00+00:00,france,37.92,PT60M
2020-01-18 22:00:00+00:00,france,35.69,PT60M
2020-01-18 23:00:00+00:00,france,33.33,PT60M
2020-01-19 00:00:00+00:00,france,30.98,PT60M
2020-01-19 01:00:00+00:00,france,29.9,PT60M
2020-01-19 02:00:00+00:00,france,28.79,PT60M
2020-01-19 04:00:00+00:00,france,27.26,PT60M
2020-01-19 05:00:00+00:00,france,27.82,PT60M
2020-01-19 06:00:00+00:00,france,30.03,PT60M
2020-01-19 07:00:00+00:00,france,31.79,PT60M
2020-01-19 08:00:00+00:00,france,35.2,PT60M
2020-01-19 10:00:00+00:00,france,34.47,PT60M
2020-01-19 11:00:00+00:00,france,33.36,PT60M
2020-01-19 12:00:00+00:00,france,29.9,PT60M
2020-01-19 13:00:00+00:00,france,28.51,PT60M
2020-01-19 14:00:00+00:00,france,29.12,PT60M
2020-01-19 15:00:00+00:00,france,29.14,PT60M
2020-01-19 16:00:00+00:00,france,33.55,PT60M
2020-01-19 17:00:00+00:00,france,44.24,PT60M
2020-01-19 18:00:00+00:00,france,43.89,PT60M
2020-01-19 19:00:00+00:00,france,41.14,PT60M
2020-01-19 20:00:00+00:00,france,36.74,PT60M
2020-01-19 21:00:00+00:00,france,40.0,PT60M
2020-01-19 22:00:00+00:00,france,36.15,PT60M
2020-01-19 23:00:00+00:00,france,34.24,PT60M
2020-01-20 00:00:00+00:00,france,34.01,PT60M
2020-01-20 01:00:00+00:00,france,33.08,PT60M
2020-01-20 02:00:00+00:00,france,32.1,PT60M
2020-01-20 04:00:00+00:00,france,34.12,PT60M
2020-01-20 05:00:00+00:00,france,45.63,PT60M
2020-01-20 06:00:00+00:00,france,52.77,PT60M
2020-01-20 07:00:00+00:00,france,59.32,PT60M
2020-01-20 08:00:00+00:00,france,57.01,PT60M
2020-01-20 09:00:00+00:00,france,50.63,PT60M
2020-01-20 10:00:00+00:00,france,48.17,PT60M
2020-01-20 11:00:00+00:00,france,43.96,PT60M
2020-01-20 13:00:00+00:00,france,43.11,PT60M
2020-01-20 14:00:00+00:00,france,44.7,PT60M
2020-01-20 15:00:00+00:00,france,46.0,PT60M
2020-01-20 16:00:00+00:00,france,55.91,PT60M
2020-01-20 17:00:00+00:00,france,57.05,PT60M
2020-01-20 18:00:00+00:00,france,54.02,PT60M
2020-01-20 19:00:00+00:00,france,48.68,PT60M
2020-01-20 20:00:00+00:00,france,44.35,PT60M
2020-01-20 21:00:00+00:00,france,41.74,PT60M
2020-01-20 22:00:00+00:00,france,39.61,PT60M
2020-01-20 23:00:00+00:00,france,35.38,PT60M
2020-01-21 00:00:00+00:00,france,34.92,PT60M
2020-01-21 01:00:00+00:00,france,35.62,PT60M
2020-01-21 02:00:00+00:00,france,34.34,PT60M
2020-01-21 03:00:00+00:00,france,34.76,PT60M
2020-01-21 04:00:00+00:00,france,36.46,PT60M
2020-01-21 05:00:00+00:00,france,42.39,PT60M
2020-01-21 06:00:00+00:00,france,50.91,PT60M
2020-01-21 07:00:00+00:00,france,60.07,PT60M
2020-01-21 08:00:00+00:00,france,58.68,PT60M
2020-01-21 10:00:00+00:00,france,52.0,PT60M
2020-01-21 11:00:00+00:00,france,47.32,PT60M
2020-01-21 12:00:00+00:00,france,45.63,PT60M
2020-01-21 13:00:00+00:00,france,45.97,PT60M
2020-01-21 14:00:00+00:00,france,47.71,PT60M
2020-01-21 15:00:00+00:00,france,49.98,PT60M
2020-01-21 16:00:00+00:00,france,57.62,PT60M
2020-01-21 17:00:00+00:00,france,62.05,PT60M
2020-01-21 18:00:00+00:00,france,57.6,PT60M
2020-01-21 19:00:00+00:00,france,49.95,PT60M
2020-01-21 20:00:00+00:00,france,46.03,PT60M
2020-01-21 21:00:00+00:00,france,43.4,PT60M
2020-01-21 22:00:00+00:00,france,42.08,PT60M
2020-01-21 23:00:00+00:00,france,38.7,PT60M
2020-01-22 01:00:00+00:00,france,35.76,PT60M
2020-01-22 02:00:00+00:00,france,33.85,PT60M
2020-01-22 03:00:00+00:00,france,33.7,PT60M
2020-01-22 04:00:00+00:00,france,35.04,PT60M
2020-01-22 05:00:00+00:00,france,40.55,PT60M
2020-01-22 06:00:00+00:00,france,49.26,PT60M
2020-01-22 07:00:00+00:00,france,58.76,PT60M
2020-01-22 08:00:00+00:00,france,60.89,PT60M
2020-01-22 09:00:00+00:00,france,54.94,PT60M
2020-01-22 10:00:00+00:00,france,53.32,PT60M
2020-01-22 11:00:00+00:00,france,50.77,PT60M
2020-01-22 12:00:00+00:00,france,49.97,PT60M
2020-01-22 13:00:00+00:00,france,50.0,PT60M
2020-01-22 14:00:00+00:00,france,52.4,PT60M
2020-01-22 15:00:00+00:00,france,55.63,PT60M
2020-01-22 16:00:00+00:00,france,62.07,PT60M
2020-01-22 17:00:00+00:00,france,65.09,PT60M
2020-01-22 18:00:00+00:00,france,59.58,PT60M
2020-01-22 19:00:00+00:00,france,52.52,PT60M
2020-01-22 20:00:00+00:00,france,47.01,PT60M
2020-01-22 21:00:00+00:00,france,43.99,PT60M
2020-01-22 22:00:00+00:00,france,41.2,PT60M
2020-01-22 23:00:00+00:00,france,40.01,PT60M
2020-01-23 00:00:00+00:00,france,39.06,PT60M
2020-01-23 01:00:00+00:00,france,38.0,PT60M
2020-01-23 02:00:00+00:00,france,36.24,PT60M
2020-01-23 03:00:00+00:00,france,36.51,PT60M
2020-01-23 04:00:00+00:00,france,41.62,PT60M
2020-01-23 05:00:00+00:00,france,47.0,PT60M
2020-01-23 06:00:00+00:00,france,58.74,PT60M
